PointID,WMA,Date,Time,Trap,Species,Sex,Wgt,HindFt,TailLgth,BodyLgth,TotalLgth,Comments,Column1
1388,LC,9/8/2010,9:45:00 AM,GR,BMWOVO,,20,14,18,84,102,,1
1388,LC,9/8/2010,9:48:00 AM,TR,BMCOMO,F,31,23,72,84,156,,
1388,LC,9/8/2010,9:51:00 AM,GR,BMGOMO,M,22,18,65,67,132,,
1388,LC,9/8/2010,9:54:00 AM,GR,BMCOMO,F,32,23,69,72,141,,
1388,LC,9/8/2010,9:57:00 AM,GR,BMCOMO,M,36,23,61,87,148,,
1388,LC,9/8/2010,10:00:00 AM,GR,BMWHMO,M,30,21,59,81,140,,
1388,LC,9/9/2010,10:13:00 AM,GR,BMWHMO,M,30,20,72,82,154,,1
1388,LC,9/9/2010,10:17:00 AM,TR,BMCOMO,M,30,22,69,94,163,,1
1388,LC,9/9/2010,10:21:00 AM,TR,BMGOMO,F,23,16,73,78,151,,1
1388,LC,9/9/2010,10:24:00 AM,TR,BMEAWO,F,245,37,175,152,327,,1
1388,LC,9/9/2010,10:32:00 AM,TR,BMGOMO,M,21,16,70,69,139,,
1388,LC,9/9/2010,10:35:00 AM,GR,BMCOMO,F,29,22,74,74,148,,
1388,LC,9/9/2010,10:38:00 AM,GR,BMWHMO,M,30,20,68,81,149,,
1388,LC,9/9/2010,10:41:00 AM,GR,BMWHMO,M,29,20,54,64,118,,
1400,LC,9/25/2010,1:50:00 PM,TR,BMGOMO,F,25,17,75,78,153,,1
1407,LC,9/26/2010,10:07:00 AM,GR,BMWHMO,M,24,17,60,65,125,,1
1449,LC,9/26/2010,8:30:00 AM,GR,BMLESH,,6,10,19,45,64,"Dead, wet",1
1449,LC,9/27/2010,9:29:00 AM,GR,BMGOMO,F,22,17,74,62,136,,1
1449,LC,9/27/2010,9:33:00 AM,GR,BMGOMO,F,17,17,77,67,144,,
1449,LC,9/27/2010,9:36:00 AM,GR,BMWHMO,F,16,18,61,59,120,,1
1456,LC,9/10/2010,10:15:00 AM,GR,BMWHMO,F,25,21,69,85,154,,1
1456,LC,9/10/2010,10:30:00 AM,GR,BMWHMO,M,30,21,67,85,152,,
1456,LC,9/11/2010,9:14:00 AM,GR,BMGOMO,F,21,16,75,80,155,,1
1456,LC,9/11/2010,9:20:00 AM,GR,BMCOMO,M,30,22,67,89,156,,1
1456,LC,9/11/2010,9:22:00 AM,GR,BMCOMO,M,32,22,68,88,156,,
1465,LC,9/15/2010,9:45:00 AM,GR,BMMouse,F,11,19,47,59,116,Juvenile,1
1465,LC,9/17/2010,11:20:00 AM,GR,BMMouse,F,12,20,53,55,108,Juvenile,1
1469,LC,9/15/2010,8:42:00 AM,GR,BMWHMO,M,24,21,72,87,159,,1
1469,LC,9/16/2010,8:55:00 AM,GR,BMWHMO,M,24,21,67,75,142,,1
1469,LC,9/16/2010,9:00:00 AM,GR,BMWHMO,F,26,21,71,80,151,,
1469,LC,9/17/2010,9:13:00 AM,GR,BMWHMO,M,26,21,65,82,147,,1
1469,LC,9/17/2010,9:22:00 AM,GR,BMWHMO,M,30,21,65,101,166,,
1469,LC,9/17/2010,9:23:00 AM,GR,BMWHMO,F,28,21,68,74,142,,
1587,LC,9/8/2010,11:07:00 AM,GR,BMEAWO,M,163,39,205,171,376,,1
1587,LC,9/9/2010,12:13:00 AM,GR,BMEAWO,M,240,35,181,178,359,,1
1587,LC,9/10/2010,8:56:00 AM,GR,BMWHMO,F,28,19,61,75,136,,1
1589,LC,9/9/2010,12:42:00 PM,GR,BMWHMO,M,18,18,61,75,136,,1
1589,LC,9/10/2010,9:58:00 AM,GR,BMWHMO,M,17,16,52,77,129,,1
1589,LC,9/10/2010,10:00:00 AM,GR,BMWHMO,F,13,17,48,67,115,,
1589,LC,9/10/2010,10:03:00 AM,GR,BMEAWO,F,183,39,79,144,223,,1
1589,LC,9/11/2010,9:03:00 AM,TR,BMWHMO,M,18,17,58,81,139,,1
1637,LC,10/11/2010,8:45:00 AM,GR,BMCOMO,M,31,22,71,84,155,,1
1637,LC,10/11/2010,8:50:00 AM,GR,BMGOMO,F,15,17,70,61,131,,1
1637,LC,10/11/2010,8:53:00 AM,TR,BMGOMO,F,20,18,77,80,157,,
1637,LC,10/12/2010,8:33:00 AM,GR,BMCOMO,F,22,22,68,76,144,,1
1637,LC,10/12/2010,8:37:00 AM,TR,BMCOMO,F,32,22,72,78,150,,
1637,LC,10/13/2010,8:34:00 AM,GR,BMCOMO,M,29,22,77,79,156,,
1640,LC,9/15/2010,9:15:00 AM,GR,BMGOMO,F,16,18,74,61,135,,1
1640,LC,9/15/2010,9:18:00 AM,GR,BMGOMO,F,20,19,74,76,150,,
1640,LC,9/15/2010,9:20:00 AM,GR,BMCOMO,M,27,23,62,68,130,,1
1640,LC,9/16/2010,8:55:00 AM,GR,BMEACH,,,,,,,Escaped,1
1640,LC,9/16/2010,8:55:00 AM,GR,BMGOMO,F,14,17,73,63,136,,1
1640,LC,9/16/2010,9:00:00 AM,GR,BMGOMO,F,19,18,63,68,131,,
1640,LC,9/16/2010,9:01:00 AM,GR,BMCOMO,M,25,23,71,68,139,,1
1640,LC,9/16/2010,9:20:00 AM,GR,BMEAWO,M,318,39,198,171,369,,1
1640,LC,9/17/2010,9:25:00 AM,GR,BMEACH,F,90,30,76,110,186,,1
1640,LC,9/17/2010,9:27:00 AM,GR,BMCOMO,M,23,23,82,76,159,,1
1640,LC,9/17/2010,9:30:00 AM,GR,BMSSSH,,6,10,16,50,66,,1
1640,LC,9/17/2010,9:31:00 AM,GR,BMGOMO,F,16,16,69,63,132,,1
1640,LC,9/17/2010,9:33:00 AM,GR,BMGOMO,F,18,17,71,72,143,,
1640,LC,9/17/2010,9:35:00 AM,GR,BMCOMO,M,26,22,73,84,157,,
1640,LC,9/17/2010,9:37:00 AM,GR,BMGOMO,F,14,17,74,76,150,,
1640,LC,9/17/2010,9:40:00 AM,GR,BMGOMO,M,20,17,68,70,138,,
1672,LC,9/15/2010,10:15:00 AM,GR,BMWHMO,F,15,17,59,72,131,,1
1672,LC,9/15/2010,10:20:00 AM,GR,BMEAWO,F,170,35,174,159,333,,1
1672,LC,9/16/2010,10:07:00 AM,GR,BMWHMO,M,14,19,58,62,120,,1
1672,LC,9/16/2010,10:10:00 AM,GR,BMHCRA,F,118,31,93,123,176,,1
1672,LC,9/17/2010,11:15:00 AM,GR,BMWHMO,F,15,17,64,67,131,,1
1717,LC,10/9/2010,10:45:00 AM,GR,BMWHMO,M,17,18,56,75,131,,1
1717,LC,10/11/2010,10:50:00 AM,GR,BMWHMO,M,20,18,62,66,128,,1
1739,LC,9/17/2010,1:35:00 PM,GR,BMWHMO,M,30,21,66,86,152,,1
1739,LC,9/18/2010,8:58:00 AM,GR,BMWHMO,M,30,21,68,87,155,,1
1739,LC,9/18/2010,9:05:00 AM,GR,BMWHMO,M,27,21,69,94,163,,
1739,LC,9/19/2010,7:51:00 AM,GR,BMWHMO,M,30,20,66,87,153,,1
