"","GRP_NUM","Group_Name","GRP_ID","Point","X_2","Y_2"
"384",9,"Barbour","BA",4196,-85.4818768521,31.9940918117
"385",9,"Barbour","BA",4197,-85.4790235942,31.9938241126
"386",9,"Barbour","BA",4198,-85.4761703554,31.9935563411
"387",9,"Barbour","BA",4199,-85.4733171356,31.9932884972
"388",9,"Barbour","BA",4200,-85.4704639349,31.9930205808
"389",9,"Barbour","BA",4201,-85.4676107533,31.992752592
"390",9,"Barbour","BA",4202,-85.4647575907,31.9924845307
"391",9,"Barbour","BA",4203,-85.4619044472,31.992216397
"392",9,"Barbour","BA",4204,-85.4590513227,31.9919481909
"393",9,"Barbour","BA",4205,-85.4561982173,31.9916799123
"394",9,"Barbour","BA",4206,-85.4533451311,31.9914115614
"395",9,"Barbour","BA",4207,-85.4362270144,31.9897999343
"396",9,"Barbour","BA",4208,-85.4333740619,31.9895310763
"397",9,"Barbour","BA",4209,-85.4305211285,31.9892621458
"398",9,"Barbour","BA",4210,-85.4276682142,31.988993143
"399",9,"Barbour","BA",4211,-85.424815319,31.9887240676
"400",9,"Barbour","BA",4212,-85.421962443,31.9884549199
"401",9,"Barbour","BA",4213,-85.4191095861,31.9881856998
"402",9,"Barbour","BA",4214,-85.4162567484,31.9879164072
"403",9,"Barbour","BA",4215,-85.4134039299,31.9876470422
"404",9,"Barbour","BA",4216,-85.4105511304,31.9873776047
"405",9,"Barbour","BA",4217,-85.3848767988,31.9849494088
"406",9,"Barbour","BA",4218,-85.3820241912,31.9846792472
"407",9,"Barbour","BA",4219,-85.3791716029,31.9844090131
"408",9,"Barbour","BA",4220,-85.5192869167,31.9951567118
"409",9,"Barbour","BA",4221,-85.5164334963,31.9948899613
"410",9,"Barbour","BA",4222,-85.5135800949,31.9946231384
"411",9,"Barbour","BA",4223,-85.5107267125,31.9943562431
"412",9,"Barbour","BA",4224,-85.507873349,31.9940892754
"413",9,"Barbour","BA",4225,-85.5050200046,31.9938222351
"414",9,"Barbour","BA",4226,-85.5021666792,31.9935551225
"415",9,"Barbour","BA",4227,-85.4993133727,31.9932879374
"416",9,"Barbour","BA",4228,-85.4964600853,31.9930206798
"417",9,"Barbour","BA",4229,-85.4936068169,31.9927533499
"418",9,"Barbour","BA",4230,-85.4907535675,31.9924859474
"419",9,"Barbour","BA",4231,-85.4879003372,31.9922184726
"420",9,"Barbour","BA",4232,-85.4850471258,31.9919509253
"421",9,"Barbour","BA",4233,-85.4821939335,31.9916833056
"422",9,"Barbour","BA",4234,-85.4793407602,31.9914156134
"423",9,"Barbour","BA",4235,-85.476487606,31.9911478488
"424",9,"Barbour","BA",4236,-85.4736344709,31.9908800117
"425",9,"Barbour","BA",4237,-85.4707813547,31.9906121022
"426",9,"Barbour","BA",4238,-85.4679282577,31.9903441203
"427",9,"Barbour","BA",4239,-85.4650751797,31.990076066
"428",9,"Barbour","BA",4240,-85.4622221208,31.9898079392
"429",9,"Barbour","BA",4241,-85.4593690809,31.98953974
"430",9,"Barbour","BA",4242,-85.4565160601,31.9892714683
"431",9,"Barbour","BA",4243,-85.4536630584,31.9890031242
"432",9,"Barbour","BA",4244,-85.4508100758,31.9887347077
"433",9,"Barbour","BA",4245,-85.4479571123,31.9884662187
"434",9,"Barbour","BA",4246,-85.4422512426,31.9879290236
"435",9,"Barbour","BA",4247,-85.4393983364,31.9876603173
